Date,Company_Name,Brand_Name,Symbol Currency,Sub Total,VAT Amount,Total,Customer_Category,Trade_Type,Status,
03 Oct 2024,GFH Ventures Company WLL,Raffles Bahrain/Al Areen Palace & Spa by Accor,$,"102,722.4",0.,"102,722.4",Hotel,Export,Terproses,
18 Jul 2024,Ginger Moon,Ginger Moon,Rp,"33,750,000.","3,712,500.","37,462,500.",Restaurant,Local,Terproses,
27 Jan 2025,Ginger Moon,Ginger Moon,Rp,"4,440,000.","488,400.","4,928,400.",Restaurant,Local,Terproses,
20 Dec 2024,Gio's Private Villa Canggu,Gio's Private Villa Canggu,Rp,"49,680,000.","5,464,800.","55,144,800.",Hotel,Local,Terproses,
05 Apr 2024,Good Food Cafe,Milk & Madu Beach Road,Rp,"38,275,000.","4,210,250.","42,485,250.",Restaurant,Local,Terproses,
19 Apr 2024,Good Food Cafe,Milk & Madu Uluwatu,Rp,"67,700,000.","7,447,000.","75,147,000.",Restaurant,Local,Terproses,
09 Jul 2024,Good Food Cafe,Milk & Madu Uluwatu,Rp,"12,100,000.","1,331,000.","13,431,000.",Restaurant,Local,Terproses,
05 Apr 2024,Good Food Guys,Milk & Madu Berawa,Rp,"24,775,000.","2,725,250.","27,500,250.",Restaurant,Local,Terproses,
18 Apr 2024,Good Food People,Milk & Madu Ubud,Rp,"6,720,000.","739,200.","7,459,200.",Restaurant,Local,Terproses,
09 Feb 2024,Graha Agung Indah Sentosa,Indigo Bintan,Rp,"753,777,000.",0.,"753,777,000.",Hotel,Local,Terproses,
06 Jun 2024,Graha Agung Indah Sentosa,Indigo Bintan,Rp,"105,030,000.",0.,"105,030,000.",Hotel,Local,Terproses,
18 Mar 2025,Graha Agung Indah Sentosa,Indigo Bintan,Rp,"193,825,000.",0.,"193,825,000.",Hotel,Local,Terproses,
26 Apr 2024,Graha Alam Lestari,The Apurva Kempinski Bali,Rp,"65,909,100.","7,250,001.","73,159,101.",Hotel,Local,Terproses,
26 Apr 2024,Graha Alam Lestari,The Apurva Kempinski Bali,Rp,"25,882,750.","2,847,102.","28,729,852.",Hotel,Local,Terproses,
26 Apr 2024,Graha Alam Lestari,The Apurva Kempinski Bali,Rp,"46,227,000.","5,084,970.","51,311,970.",Hotel,Local,Terproses,
26 Apr 2024,Graha Alam Lestari,The Apurva Kempinski Bali,Rp,"69,103,000.","7,601,330.","76,704,330.",Hotel,Local,Terproses,
08 May 2024,Graha Alam Lestari,The Apurva Kempinski Bali,Rp,"45,295,050.","4,982,455.","50,277,505.",Hotel,Local,Terproses,
18 Sep 2024,Graha Alam Lestari,The Apurva Kempinski Bali,Rp,"3,495,000.","384,450.","3,879,450.",Hotel,Local,Menunggu diproses,
25 Nov 2024,Graha Alam Lestari,The Apurva Kempinski Bali,Rp,"11,571,000.","1,272,810.","12,843,810.",Hotel,Local,Terproses,
10 Jan 2024,Grand Hyatt Jakarta,Plaza Indonesia Realty,Rp,"24,000,000.","2,640,000.","26,640,000.",Hotel,Local,Terproses,
10 Jan 2024,Grand Hyatt Jakarta,Plaza Indonesia Realty,Rp,"40,500,000.","4,455,000.","44,955,000.",Hotel,Local,Terproses,
16 Jul 2024,Grand Hyatt Jakarta,Plaza Indonesia Realty,Rp,"840,000.","92,400.","932,400.",Hotel,Local,Terproses,
21 Jan 2025,Greek Restaurant in Uluwatu,Greek Restaurant,Rp,"327,341,500.","36,007,565.","363,349,065.",Restaurant,Local,Terproses,
