Total_USD,Total_Quantity,Cluster,Avg_Price_Per_Item,Quantity_to_Value_Ratio,Company_Name,Order_Density
113.8165381043581,3.0,3,37.93884603478603,0.0263582081300813,shed shop,0.9587912087912088
371.36886687709256,2.0,2,185.68443343854628,0.005385481063122924,shed shop,0.9587912087912088
407.7408077260517,2.0,2,203.87040386302584,0.004905076857903655,sanur shop,0.8681318681318682
232.5682106522656,1.0,2,232.5682106522656,0.004299813793103449,sanur shop,0.8681318681318682
106.10539053631216,2.0,3,53.05269526815608,0.018849183720930234,uluwatu shop,0.9260869565217391
359.95636847638457,1.0,2,359.95636847638457,0.0027781144815766925,uluwatu shop,0.9260869565217391
140.0344398357143,1.0,3,140.0344398357143,0.007141100440528635,uluwatu shop,0.9260869565217391
120.60234796423852,1.0,1,120.60234796423852,0.00829171253196931,lobby shop,0.36134453781512604
37.01350832662053,1.0,0,37.01350832662053,0.027017163333333327,revenue studio,1.9806629834254144
52.43580346271241,2.0,0,26.217901731356203,0.03814187764705882,revenue studio,1.9806629834254144
52.43580346271241,2.0,0,26.217901731356203,0.03814187764705882,revenue studio,1.9806629834254144
74.02701665324105,2.0,0,37.013508326620524,0.027017163333333333,revenue studio,1.9806629834254144
21.59121319052864,2.0,0,10.79560659526432,0.09263027428571427,revenue studio,1.9806629834254144
15.422295136091885,1.0,0,15.422295136091885,0.064841192,revenue studio,1.9806629834254144
311.53036174905606,2.0,2,155.76518087452803,0.00641992,ubud shop,0.9835164835164835
41.948642770169926,1.0,3,41.948642770169926,0.023838673529411766,sanur shop,0.8681318681318682
865.8076489401983,3.0,2,288.60254964673277,0.003464972853580335,shed shop,0.9587912087912088
279.1435419632631,1.0,2,279.1435419632631,0.0035823862983425415,uluwatu shop,0.9260869565217391
90.0662035947766,2.0,3,45.0331017973883,0.02220588767123288,shed shop,0.9587912087912088
52.89847231679517,2.0,3,26.449236158397586,0.037808275218658885,shed shop,0.9587912087912088
589.5634984625206,4.0,3,147.39087461563014,0.006784680548289212,ubud shop,0.9835164835164835
29.30236075857458,1.0,3,29.30236075857458,0.03412694315789474,sanur shop,0.8681318681318682
210.36010565629329,3.0,3,70.12003521876443,0.014261259237536659,uluwatu shop,0.9260869565217391
131.08950865678102,2.0,3,65.54475432839051,0.015256751058823528,sanur shop,0.8681318681318682
122.14457747784772,1.0,3,122.14457747784772,0.008187019191919193,shed shop,0.9587912087912088
326.8292785240592,2.0,2,163.4146392620296,0.006119402793506984,ubud shop,0.9835164835164835
314.6148207762744,2.0,2,157.3074103881372,0.006356979607843137,shed shop,0.9587912087912088
76.1861379722939,2.0,1,38.09306898614695,0.026251494736842105,lobby shop,0.36134453781512604
191.5449055902612,2.0,3,95.7724527951306,0.01044141578099839,sanur shop,0.8681318681318682
267.1141517571114,2.0,3,133.5570758785557,0.007487435565819862,ubud shop,0.9835164835164835
62.92296415525489,2.0,3,31.461482077627444,0.031784898039215685,uluwatu shop,0.9260869565217391
248.4223300521681,1.0,2,248.4223300521681,0.004025403029550533,shed shop,0.9587912087912088
292.09826987758026,4.0,3,73.02456746939507,0.013694021541710667,shed shop,0.9587912087912088
233.1851024577093,2.0,3,116.59255122885465,0.008576877248677249,shed shop,0.9587912087912088
175.50571864872563,2.0,3,87.75285932436282,0.01139564007029877,shed shop,0.9587912087912088
234.1104401658748,2.0,3,117.0552200829374,0.008542976548089592,ubud shop,0.9835164835164835
414.05777981379487,3.0,3,138.01925993793162,0.007245365613825984,ubud shop,0.9835164835164835
579.2614053116112,2.0,2,289.6307026558056,0.003452672630457934,ubud shop,0.9835164835164835
369.5181914607616,2.0,2,184.7590957303808,0.005412453422370617,sanur shop,0.8681318681318682
579.3847836726999,2.0,2,289.69239183634994,0.0034519373935264054,sanur shop,0.8681318681318682
179.02200193975457,3.0,3,59.67400064658486,0.016757716747070987,sanur shop,0.8681318681318682
83.28039373489617,1.0,1,83.28039373489617,0.01200762814814815,lobby shop,0.36134453781512604
29.30236075857458,1.0,3,29.30236075857458,0.03412694315789474,uluwatu shop,0.9260869565217391
230.1006434304909,1.0,2,230.1006434304909,0.004345924396782842,uluwatu shop,0.9260869565217391
285.836818052327,2.0,3,142.9184090261635,0.006996999244631488,uluwatu shop,0.9260869565217391
37.01350832662053,1.0,0,37.01350832662053,0.027017163333333327,revenue studio,1.9806629834254144
52.43580346271241,2.0,0,26.217901731356203,0.03814187764705882,revenue studio,1.9806629834254144
37.01350832662053,1.0,0,37.01350832662053,0.027017163333333327,revenue studio,1.9806629834254144
15.422295136091885,1.0,0,15.422295136091885,0.064841192,revenue studio,1.9806629834254144
49.35134443549403,2.0,0,24.675672217747014,0.040525745,revenue studio,1.9806629834254144
