invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type
INV-1995/KEVALA/OUT/IX/2024,03 Sep 2024,Awahita Indonesia Putra,Capella Ubud,"6,382,500.",Hotel,Local
INV-1998/KEVALA/OUT/IX/2024,03 Sep 2024,Duta Jaya Perkasa,Jumeirah Bali,"64,269,000.",Hotel,Local
INV-2000/KEVALA/OUT/IX/2024,06 Sep 2024,Anaamaya Resort Seminyak,Alila Seminyak,"7,176,150.",Hotel,Local
INV-2001/KEVALA/OUT/IX/2024,06 Sep 2024,Anaamaya Resort Seminyak,Alila Seminyak,"3,490,950.",Hotel,Local
INV-2003/KEVALA/OUT/IX/2024,13 Sep 2024,Nusadua Graha International,The Westin Resort Nusa Dua,"15,540,000.",Hotel,Local
INV-2005/KEVALA/OUT/IX/2024,16 Sep 2024,Graha Alam Lestari,The Apurva Kempinski Bali,"51,311,970.",Hotel,Local
INV-2006/KEVALA/OUT/IX/2024,16 Sep 2024,Good Food Cafe,Milk & Madu Uluwatu,"13,431,000.",Restaurant,Local
INV-2007/KEVALA/OUT/IX/2024,16 Sep 2024,Barba Rossa Fraters,Rento - Babarossa,"22,727,250.",Restaurant,Local
INV-2008/KEVALA/OUT/IX/2024,18 Sep 2024,Bokashi Berawa,Bokashi Berawa,"3,163,500.",Restaurant,Local
INV-2009/KEVALA/OUT/IX/2024,18 Sep 2024,The Royal Purnama,The Royal Purnama,"23,842,800.",Hotel,Local
INV-2010/KEVALA/OUT/IX/2024,18 Sep 2024,Anaamaya Resort Seminyak,Alila Seminyak,"24,647,550.",Hotel,Local
INV-2011/KEVALA/OUT/IX/2024,18 Sep 2024,Anaamaya Resort Seminyak,Alila Seminyak,"3,163,500.",Hotel,Local
INV-2012/KEVALA/OUT/IX/2024,18 Sep 2024,Anaamaya Resort Seminyak,Alila Seminyak,"1,820,400.",Hotel,Local
INV-2013/KEVALA/OUT/IX/2024,18 Sep 2024,Hotel Indonesia Sanur International,Meru,"20,460,000.",Hotel,Local
INV-2014/KEVALA/OUT/IX/2024,19 Sep 2024,Riviera Bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,"6,293,700.",Restaurant,Local
INV-2015/KEVALA/OUT/IX/2024,20 Sep 2024,Graha Agung Indah Sentosa,Indigo Bintan,"694,566,000.",Hotel,Local
INV-2016/KEVALA/OUT/IX/2024,20 Sep 2024,Graha Agung Indah Sentosa,Indigo Bintan,"58,468,500.",Hotel,Local
INV-2017/KEVALA/OUT/IX/2024,20 Sep 2024,Mitra Mulia Boga Nusantara,Waterbom,"23,443,200.",Restaurant,Local
INV-2018/KEVALA/OUT/IX/2024,20 Sep 2024,Greenland Rajawali Utama,Four Seasons Hotel Jakarta,"82,486,266.",Hotel,Local
INV-2019/KEVALA/OUT/IX/2024,27 Sep 2024,Amanda Arumdhani,Four Season Sayan,"21,017,850.",Hotel,Local
INV-2021/KEVALA/OUT/IX/2024,27 Sep 2024,Indonesia Adventure Sport,Nihi Sumba,"24,109,200.",Hotel,Local
INV-2022/KEVALA/OUT/IX/2024,27 Sep 2024,Bidadari Dunia - La Plancha,La Plancha Bali Sejahtera,"38,295,000.",Restaurant,Local
INV-2023/KEVALA/OUT/IX/2024,28 Sep 2024,Pablo Long Time Asian Restaurant,Pablo Long Time,"2,797,200.",Restaurant,Local
INV-2024/KEVALA/OUT/IX/2024,28 Sep 2024,Riviera Bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,"20,535,000.",Restaurant,Local
INV-2025/KEVALA/OUT/IX/2024,30 Sep 2024,Hotel Pandan Arum,Maya Ubud,"28,207,875.",Hotel,Local
INV-2026/KEVALA/OUT/IX/2024,30 Sep 2024,Amanda Arumdhani,Four Season Sayan,"36,663,300.",Hotel,Local
INV-2027/KEVALA/OUT/IX/2024,30 Sep 2024,Yawara Boga Indonesia,Yawara,"301,464,900.",Restaurant,Local
INV-2028/KEVALA/OUT/IX/2024,30 Sep 2024,Bali Droom Villas,Joyce and Ralph Van Rooten,"142,948,020.",Hotel,Local
INV-2029/KEVALA/OUT/X/2024,01 Oct 2024,Anaamaya Resort Seminyak,Alila Seminyak,"18,847,800.",Hotel,Local
INV-2030/KEVALA/OUT/X/2024,01 Oct 2024,Anaamaya Resort Seminyak,Alila Seminyak,"1,864,800.",Hotel,Local
INV-2031/KEVALA/OUT/IX/2024,30 Sep 2024,Boa Development,Nihi Rote,"150,249,600.",Hotel,Local
INV-2032/KEVALA/OUT/IX/2024,30 Sep 2024,Prima Fenomena Jaya,Prima Fenomena Jaya,"30,521,082.",Restaurant,Local
INV-2033/KEVALA/OUT/IX/2024,30 Sep 2024,Wynncor Bali,Andaz Bali,"19,258,500.",Hotel,Local
INV-2034/KEVALA/OUT/X/2024,03 Oct 2024,Drifter,Drifter,"130,078,680.",Restaurant,Local
INV-2036/KEVALA/OUT/X/2024,08 Oct 2024,Amanda Arumdhani,Four Season Sayan,"11,804,850.",Hotel,Local
INV-2037/KEVALA/OUT/X/2024,10 Oct 2024,Maya Resort,Maya Sanur,"4,745,250.",Hotel,Local
INV-2038/KEVALA/OUT/X/2024,11 Oct 2024,The Damai Hotel,Normann Indonesia,"58,885,500.",Hotel,Local
INV-2039/KEVALA/OUT/X/2024,17 Oct 2024,Ginger Moon,Ginger Moon,"37,462,500.",Restaurant,Local
INV-2040/KEVALA/OUT/X/2024,18 Oct 2024,Duta Jaya Perkasa,Jumeirah Bali,"7,659,000.",Hotel,Local
INV-2041/KEVALA/OUT/X/2024,21 Oct 2024,Bukit Uluwatu Villa,Alila Uluwatu,"52,039,575.",Hotel,Local
INV-2042/KEVALA/OUT/X/2024,22 Oct 2024,Tanadewa Resort & Spa Ubud,Tanadewa Resort & Spa Ubud,"42,757,200.",Hotel,Local
INV-2043/KEVALA/OUT/X/2024,22 Oct 2024,Anaamaya Resort Seminyak,Alila Seminyak,"871,350.",Hotel,Local
INV-2044/KEVALA/OUT/X/2024,23 Oct 2024,Samanvaya,Zen Happy,"4,262,400.",Hotel,Local
INV-2045/KEVALA/OUT/X/2024,22 Oct 2024,Graha Agung Indah Sentosa,Indigo Bintan,"105,772,500.",Hotel,Local
INV-2046/KEVALA/OUT/X/2024,24 Oct 2024,Bukit Uluwatu Villa,Alila Uluwatu,"63,248,910.",Hotel,Local
INV-2047/KEVALA/OUT/X/2024,24 Oct 2024,Amanda Arumdhani,Four Season Sayan,"47,863,200.",Hotel,Local
INV-2048/KEVALA/OUT/X/2024,25 Oct 2024,Amanda Arumdhani,Four Season Sayan,"34,515,450.",Hotel,Local
INV-2049/KEVALA/OUT/X/2024,29 Oct 2024,Bukit Uluwatu Villa,Alila Uluwatu,"29,815,987.",Hotel,Local
INV-2050/KEVALA/OUT/X/2024,30 Oct 2024,MNC Land Tbk,Park Hyatt Jakarta,"715,280.",Hotel,Local
INV-2051/KEVALA/OUT/X/2024,30 Oct 2024,Bali Radiance,Bali Radiance,"3,108,000.",Hotel,Local
INV-2052/KEVALA/OUT/X/2024,30 Oct 2024,Monokuro,Monokuro,"5,661,000.",Restaurant,Local
INV-2053/KEVALA/OUT/X/2024,31 Oct 2024,Prima Ismaya Sejahtera,Ismaya,"19,846,800.",Restaurant,Local
INV-2054/KEVALA/OUT/X/2024,30 Oct 2024,Amanda Arumdhani,Four Season Sayan,"29,304,000.",Hotel,Local
INV-2056/KEVALA/OUT/X/2024,31 Oct 2024,The Sanubari Hotel,MDA ABS Kuningan,"31,302,000.",Hotel,Local
INV-2057/KEVALA/OUT/X/2024,31 Oct 2024,Bali Bounty,Kudeta,"16,872,000.",Restaurant,Local
