      ,Client Name,PIC,Quotation Out,Qty (Pcs), Amount (IDR) , Amount (USD) , Amount (AUD) , Amount ( EUR ) , Amount (SGD) , Remark ,Contact Person,Send By,Inquiry,Remark
,,,Purchase Order Received,,,,,,,,,,,
,,,Canceled Purchase Order,,,,,,,,,,,
,,,Order is on hold,,,,,,,,,,,
,2024,,,,,,,,,,,,,
21,The Apurva Kempinski Bali - Oku Additional,,22/Apr/24,," IDR  34,452,000 ",,,,,,,,,
22,The Apurva Kempinski Bali - Koral Additional,,22/Apr/24,," IDR  36,565,500 ",,,,,,,,,
23,The Sourcing Bali,,22/Apr/24,," IDR  176,400,000 ",,,,,,,,,
24,Mamasan,,22/Apr/24,," IDR  7,740,000 ",,,,,,,,,
25,Expat,,22/Apr/24,," IDR 58,618,800 ",,,,,,,,,
26,Mimosa - Regent Phuquoc,,22/Apr/24,,," USD  1,230.00 ",,,,,,,,
27,Six Senses Saudi Dunes - Inroom,,22/Apr/24,,, USD  412.50 ,,,,,,,,
28,W Hotel Palm Jumeirah ,,22/Apr/24,,," USD  10,000.00 ",,,,,,,,
29,Michael Lorenti - Personal Order,,12/Apr/24,," IDR  43,680,000 ",,,,,,,,,
30,Michael Lorenti - Decorative,,12/Apr/24,," IDR  62,408,000 ",,,,,,,,,
31,Angela,,24/Apr/24,,," USD  9,972.00 ",,,,,,,,
32,Wakatobi ,,24/Apr/24,," IDR  1,440,000 ",,,,,,,,,
33,Maya Tree Bar Sanur,,24/Apr/24,," IDR  5,500,000 ",,,,,,,,,
34,Maya Tree Bar Ubud,,24/Apr/24,," IDR  26,750,000 ",,,,,,,,,
35,Ce La Vi,,26/Apr/24,,, USD  500.00 ,,,,,,,,
37,Ismaya Jakarta Skye,,29/Apr/24,," IDR  6,120,000 ",,,,,,,,,
,,,,,,,,,,,,,,
,,,TOTAL,," IDR 1,059,172,850 "," USD  47,443.84 ", AUD  -   ,,,,,,,
,,,,,,,,,,,,,,
,Total PO Received,,,," IDR  746,809,850 "," USD  10,965.00 ",,,,,,,,
,Total PO Not Received,,,," IDR  312,363,000 ",#REF!,,,,,,,,
,,,,,,,,,,,,,,
,MAY'2024,,,,,,,,,,,,,
1,Flores Runaway,,03/May/24,," IDR  21,960,000 ",,,,,,,,,
2,Abisena All Day Dining,,03/May/24,," IDR  105,903,000 ",,,,,,,,,
3,KuDeTa,,03/May/24,," IDR  30,300,000 ",,,,,,,,,
4,Optimist Pererenan,,06/May/24,," IDR 38,665,000 ",,,,,,,,,
5,Nam Heong,,06/May/24,," IDR  19,440,000 ",,,,,,,,,
6,Alila Villas Uluwatu - Sauce dish,,07/May/24,," IDR  15,750,000 ",,,,,,,,,
7,Fairmont Jakarta,,07/May/24,," IDR  307,500,000 ",,,,,,,,,
8,Sushi Tei Bandung,,08/May/24,," IDR  18,000,000 ",,,,,,,,,
9,Six Sense Fiji - Pump only,,08/May/24,,," USD  1,100.00 ",,,,,,,,
10,Mamasan,,08/May/24,," IDR  6,360,000 ",,,,,,,,,
11,Potato Head,,08/May/24,," IDR  101,600,000 ",,,,,,,,,
12,R&B Steak Palembang,,09/May/24,," IDR  23,220,000 ",,,,,,,,,
13,Miss Fish Bali -Teapot,,09/May/24,," IDR  15,000,000 ",,,,,,,,,
14,The Laguna Hotel Bali,,09/May/24,," IDR  22,000,000 ",,,,,,,,,
15,Suarga (Defuser),,13/May/24,," IDR  9,250,000 ",,,,,,,,,
16,Janice Wong Singapore,,13/May/24,,," USD  5,230.00 ",,,,,,,,
17,Eliza Bonosusatya - Personal Order,,13/May/24,," IDR  31,350,000 ",,,,,,,,,
18,Budi Susanti - Personal Order,,13/May/24,," IDR  10,500,000 ",,,,,,,,,
19,Nae Um Singapore,,13/May/24,,, USD  500.00 ,,,,,,,,
20,Four Season Sayan SPA,,13/May/24,," IDR  184,010,000 ",,,,,,,,,
21,Four Season Langkawi,,13/May/24,,," USD  10,098.00 ",,,,,,,,
22,Samanvaya,,13/May/24,," IDR  49,350,000 ",,,,,,,,,
23,Mozaic Ubud,,13/May/24,," IDR 49,970,000 ",,,,,,,,,
24,Motel Mexicola Seminyak - New Range,,16/May/24,," IDR  225,800,000 ",,,,,,,,,
25,Motel Mexicola Canggu,,16/May/24,," IDR  27,150,000 ",,,,,,,,,
26,Michael Lorenti - Additional,,16/May/24,," IDR  3,450,000 ",,,,,,,,,
27,Shelter Pererenan - Saucer ,,16/May/24,," IDR  1,750,000 ",,,,,,,,,
28,Shelter Canggu - Saucer,,16/May/24,," IDR  1,750,000 ",,,,,,,,,
